,topic,name,user,star,fork,watch,issue,pull_requests,projects,topic_tag,discription_text,discription_url,commits,branches,packages,releases,contributers,License,url
0,Computer-Vision,opencv,opencv,43.9k,34.9k,2.6k,"1,692",54,,"['opencv', 'c-plus-plus', 'computer-vision', 'deep-learning', 'image-processing']",Open Source Computer Vision Library,https://opencv.org,"28,489",3,0,0,93,View license,https://github.com/opencv/opencv
1,Computer-Vision,openpose,CMU-Perceptual-Computing-Lab,16.7k,5k,871,22,1,0,"['openpose', 'computer-vision', 'machine-learning', 'multi-threading', 'cpp', 'cpp11', 'caffe', 'opencv', 'human-pose-estimation', 'real-time', 'deep-learning', 'human-behavior-understanding', 'cvpr-2017']","OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation",,609,3,0,0,13,View license,https://github.com/CMU-Perceptual-Computing-Lab/openpose
2,Computer-Vision,cs-video-courses,Developer-Y,14.6k,2k,765,3,0,0,"['computer-science', 'algorithms', 'systems', 'databases', 'machine-learning', 'web-development', 'security', 'computer-architecture', 'bioinformatics', 'robotics', 'embedded-systems', 'database-systems', 'programming-language', 'computer-vision', 'quantum-computing']",List of Computer Science courses with video lectures.,,223,1,0,0,0,Fetching contributors,https://github.com/Developer-Y/cs-video-courses
3,Computer-Vision,Virgilio,virgili0,12.5k,2.5k,873,1,0,0,"['tensorflow', 'machine-learning', 'machine-vision', 'data', 'datascience', 'scikit-learn', 'python', 'guide', 'guidelines', 'path', 'study', 'studypath', 'learning', 'learning-python', 'computer-vision', 'nlp', 'statistics', 'business-intelligence', 'data-science', 'virgilio']",Your new Mentor for Data Science E-Learning.,,"1,181",2,0,0,0,GPL-3.0,https://github.com/virgili0/Virgilio
4,Computer-Vision,awesome-computer-vision,jbhuang0604,12.2k,3.1k,1.1k,10,29,0,[],A curated list of awesome computer vision resources,,186,1,0,0,0,Fetching contributors,https://github.com/jbhuang0604/awesome-computer-vision
5,Computer-Vision,pytorch-CycleGAN-and-pix2pix,junyanz,11.6k,3.4k,311,189,9,0,"['pytorch', 'gan', 'cyclegan', 'pix2pix', 'deep-learning', 'computer-vision', 'computer-graphics', 'image-manipulation', 'image-generation', 'generative-adversarial-network', 'gans']",Image-to-Image Translation in PyTorch,,445,3,0,0,0,View license,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix
6,Computer-Vision,facenet,davidsandberg,10.4k,4.2k,581,439,42,,"['face-recognition', 'tensorflow', 'facenet', 'deep-learning', 'computer-vision', 'face-detection', 'mtcnn']",Face recognition using Tensorflow,,566,5,0,0,0,MIT,https://github.com/davidsandberg/facenet
7,Computer-Vision,learnopencv,spmallick,10.2k,6.7k,842,139,23,0,"['computer-vision', 'machine-learning', 'ai', 'deep-learning', 'deep-neural-networks', 'deeplearning', 'computervision', 'opencv', 'opencv-python', 'opencv-library', 'opencv3', 'opencv-cpp', 'opencv-tutorial']",Learn OpenCV : C++ and Python Examples,https://www.learnopencv.com/,857,2,0,0,0,Fetching contributors,https://github.com/spmallick/learnopencv
8,Computer-Vision,AirSim,microsoft,9.8k,2.6k,567,524,22,2,"['drones', 'ai', 'self-driving-car', 'autonomous-vehicles', 'autonomous-quadcoptor', 'research', 'computer-vision', 'artificial-intelligence', 'deeplearning', 'deep-reinforcement-learning', 'control-systems', 'pixhawk', 'cross-platform', 'platform-independent', 'airsim', 'unreal-engine', 'simulator']","Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research",https://microsoft.github.io/AirSim/,"2,072",2,0,0,23,View license,https://github.com/microsoft/AirSim
9,Computer-Vision,Awesome-pytorch-list,bharathgs,9.7k,2.1k,572,0,0,0,"['pytorch', 'python', 'machine-learning', 'deep-learning', 'tutorials', 'papers', 'awesome', 'awesome-list', 'pytorch-tutorials', 'data-science', 'nlp', 'nlp-library', 'cv', 'computer-vision', 'natural-language-processing', 'facebook', 'probabilistic-programming', 'utility-library', 'neural-network', 'pytorch-model']","A comprehensive list of pytorch related content on github,such as different models,implementations,helper libraries,tutorials etc.",,714,1,0,0,0,"56
    
    contributors",https://github.com/bharathgs/Awesome-pytorch-list
10,Computer-Vision,CycleGAN,junyanz,9.6k,1.6k,401,35,0,0,"['gan', 'generative-adversarial-network', 'deep-learning', 'image-generation', 'image-manipulation', 'cyclegan', 'pix2pix', 'gans', 'computer-vision', 'computer-graphics', 'torch']","Software that can generate photos from paintings, turn horses into zebras, perform style transfer, and more.",,95,1,0,0,0,View license,https://github.com/junyanz/CycleGAN
11,Computer-Vision,caire,esimov,9.3k,338,175,1,0,0,"['seam-carving', 'image-processing', 'image-resize', 'sobel', 'edge-detection', 'golang', 'face-detection', 'computer-vision', 'machine-learning']",Content aware image resize library,,228,1,0,0,10,MIT,https://github.com/esimov/caire
12,Computer-Vision,awesome-deep-vision,kjw0612,9k,2.6k,1.1k,11,23,0,[],A curated list of deep learning resources for computer vision,,206,2,0,0,0,"36
    
    contributors",https://github.com/kjw0612/awesome-deep-vision
13,Computer-Vision,dlib,davisking,8.9k,2.7k,504,56,2,0,"['machine-learning', 'deep-learning', 'c-plus-plus', 'python', 'computer-vision', 'machine-learning-library']",A toolkit for making real world machine learning and data analysis applications in C++,http://dlib.net,"7,794",1,0,0,51,"135
    
    contributors",https://github.com/davisking/dlib
14,Computer-Vision,Dive-into-DL-PyTorch,ShusenTang,8.5k,2.6k,293,36,3,0,"['deep-learning', 'deep-learning-tutorial', 'pytorch', 'pytorch-tutorial', 'computer-vision', 'natural-language-processing', 'd2l']",本项目将《动手学深度学习》(Dive into Deep Learning)原书中的MXNet实现改为PyTorch实现。,http://tangshusen.me/Dive-into-DL-PyT…,240,1,0,0,0,Apache-2.0,https://github.com/ShusenTang/Dive-into-DL-PyTorch
15,Computer-Vision,tracking.js,eduardolundgren,8.4k,1.3k,305,195,24,0,[],A modern approach for Computer Vision on the web,http://trackingjs.com,360,4,0,0,6,View license,https://github.com/eduardolundgren/tracking.js
16,Computer-Vision,openFrameworks,openframeworks,7.7k,2.4k,547,832,93,0,"['openframeworks', 'osx', 'windows', 'linux', 'raspberry-pi', 'android', 'ios', 'creative-coding', 'video', 'audio', 'opengl', 'graphics', 'computer-vision', 'opencv', 'emscripten']",openFrameworks is a community-developed cross platform toolkit for creative coding in C++.,http://openframeworks.cc,"16,470",6,0,0,29,View license,https://github.com/openframeworks/openFrameworks
17,Computer-Vision,pix2pix,phillipi,7.6k,1.3k,307,65,2,0,"['computer-vision', 'computer-graphics', 'gan', 'pix2pix', 'dcgan', 'generative-adversarial-network', 'deep-learning', 'image-generation', 'image-manipulation', 'image-to-image-translation']",Image-to-image translation with conditional adversarial nets,https://phillipi.github.io/pix2pix/,129,1,0,0,0,View license,https://github.com/phillipi/pix2pix
18,Computer-Vision,fashion-mnist,zalandoresearch,7.6k,1.7k,291,20,2,,"['mnist', 'deep-learning', 'benchmark', 'machine-learning', 'dataset', 'computer-vision', 'fashion', 'fashion-mnist', 'gan', 'zalando', 'convolutional-neural-networks']",A MNIST-like fashion product database. Benchmark 👉,http://fashion-mnist.s3-website.eu-ce…,204,1,0,0,0,MIT,https://github.com/zalandoresearch/fashion-mnist
