,topic,name,user,star,fork,watch,issue,pull_requests,projects,topic_tag,discription_text,discription_url,commits,branches,packages,releases,contributers,License,url
0,Android-studio,AndroidCodeStyle,grandcentrix,188,64,25,8,0,0,"['java', 'kotlin', 'codestyle', 'formatting', 'intellij-idea-settings']",Android code style settings for Android Studio at grandcentrix,,77,1,0,0,0,Fetching contributors,https://github.com/grandcentrix/AndroidCodeStyle
1,Android-studio,hbworkspace2-100,harshalbenake,185,151,27,0,0,0,[],(1) Name :- ActionBarSearchView Description :- Action bar search view. (2) Name :- Adsfree Description :- Admob integration. (3) Name :- AndroidDayDreamDemo Description :- Day dream demo. (4) Name :- android query demo live Description :- Google play live app details parsing. (5) Name :- Arc GIS map Description :- Arc gis map integration without…,,7,1,0,0,0,Fetching contributors,https://github.com/harshalbenake/hbworkspace2-100
2,Android-studio,Animatoo,mohammadatif,184,41,10,0,0,,"['android-library', 'android', 'android-studio', 'activity-transition-animations', 'animation']",A lightweight and easy to use Android library that provides many activity transition animations.,http://devofandroid.blogspot.com,13,1,0,0,0,MIT,https://github.com/mohammadatif/Animatoo
3,Android-studio,tensorflow-hangul-recognition,IBM,173,109,29,3,0,,"['tensorflow', 'android', 'java', 'python', 'hangul', 'android-studio', 'tfrecords', 'watson-language-translator', 'watson-services', 'ibmcode', 'call-for-code']",Handwritten Korean Character Recognition with TensorFlow and Android,https://developer.ibm.com/patterns/cr…,100,1,0,0,0,Apache-2.0,https://github.com/IBM/tensorflow-hangul-recognition
4,Android-studio,fcm-push-plugin,abeade,170,1,7,0,0,0,"['android-studio', 'android', 'kotlin', 'intellij-plugin', 'push-notifications']",IntelliJ IDEA plugin to send pushes using Firebase Cloud Messaging (FCM),,58,1,0,0,10,Apache-2.0,https://github.com/abeade/fcm-push-plugin
5,Android-studio,intellij-haxe,HaxeFoundation,169,93,44,263,11,0,"['intellij', 'idea', 'idea-plugin', 'android-studio', 'haxe', 'haxe-plugin', 'debugger', 'ide']","Haxe plugin for IntelliJ Platform based IDEs (IDEA, Android-Studio)",http://intellij-haxe.org,"2,550",12,0,0,46,Apache-2.0,https://github.com/HaxeFoundation/intellij-haxe
6,Android-studio,MvpAutoCodePlus,longforus,169,22,4,1,0,0,"['mvp', 'idea-plugin', 'androidstudio-plugin', 'android', 'androidstudio', 'idea']",🔌An IDEA/Android Studio plug-in that automatically generates an MVP template code,https://plugins.jetbrains.com/plugin/…,63,2,0,0,9,Apache-2.0,https://github.com/longforus/MvpAutoCodePlus
7,Android-studio,PerfectShow,KAlO2,168,76,17,25,1,0,"['opencv', 'android', 'opencv-android-sdk', 'android-development', 'android-studio']","Android virtual makeup app, apply cosmetics on human face.",,113,1,0,0,1,Apache-2.0,https://github.com/KAlO2/PerfectShow
8,Android-studio,ArtifactFinder,yigit,167,4,6,7,1,0,[],An Android Studio Plugin to find Maven Artifacts by class name,,54,6,0,0,0,Apache-2.0,https://github.com/yigit/ArtifactFinder
9,Android-studio,GreenDaoForAndroidStudio,SureCase,165,58,16,2,0,0,[],GreenDao Module for Android Studio,http://blog.surecase.eu/using-greenda…,7,2,0,0,0,Fetching contributors,https://github.com/SureCase/GreenDaoForAndroidStudio
